Codigo;Fem - 50 a 69;% Fem - 50 a 69;Total;DRS
355410;35887;22,05%;7914;DRS 17
355420;440;20,11%;89;DRS 6
355430;2362;20,30%;480;DRS 11
355440;1018;21,49%;219;DRS 5
355450;4506;21,00%;947;DRS 16
355460;361;28,25%;102;DRS 9
355465;277;25,48%;71;DRS 6
355470;1135;22,72%;258;DRS 6
355475;191;21,20%;41;DRS 3
355480;4906;21,96%;1078;DRS 17
355490;746;25,62%;192;DRS 15
355495;816;23,84%;195;DRS 7
355500;8593;25,55%;2196;DRS 9
355510;1909;28,88%;552;DRS 11
355520;259;26,70%;70;DRS 2
355530;284;34,01%;97;DRS 15
355535;588;18,51%;109;DRS 15
355540;9970;21,24%;2118;DRS 17
355550;515;22,17%;115;DRS 9
355560;1240;24,29%;302;DRS 15
355570;157;17,56%;28;DRS 15
355580;1166;25,62%;299;DRS 15
355590;169;29,55%;50;DRS 6
355600;1774;25,25%;448;DRS 15
355610;1494;21,94%;328;DRS 15
355620;16190;23,94%;3876;DRS 7
355630;2256;19,42%;439;DRS 2
355635;1135;21,77%;248;DRS 7
355640;4941;22,72%;1123;DRS 14
355645;5780;21,10%;1220;DRS 1
355650;12451;20,00%;2491;DRS 7
355660;1360;24,69%;336;DRS 9
355670;8862;21,53%;1908;DRS 7
355680;2062;21,74%;449;DRS 5
355690;686;16,09%;111;DRS 5
355695;223;25,40%;57;DRS 15
355700;12773;20,42%;2609;DRS 16
355710;12407;25,29%;3138;DRS 15
355715;327;23,36%;77;DRS 15
355720;1405;22,50%;317;DRS 9
355730;1271;22,22%;283;DRS 14
